PO_ITEM_POS,PRODUCT_GUID_NODE_KEY    ,CURRENCY_CODE,GROSS_AMOUNT        ,NET_AMOUNT          ,TAX_AMOUNT          
70,74867AD200E41EDBA5D8B06B26F5E052  ,PLN          ,342.72,288,54.72
80,74867AD200E41EDBA5D8B06B26F04052  ,PLN          ,211.82,178,33.82
10,74867AD200E41EDBA5D8B06B26F80052  ,GBP          ,3566.43,2997,569.43
20,74867AD200E41EDBA5D8B06B26ECC052  ,GBP          ,1017.45,855,162.45
30,74867AD200E41EDBA5D8B06B26F26052  ,GBP          ,139.23,117,22.23
40,74867AD200E41EDBA5D8B06B26F80052  ,GBP          ,1188.81,999,189.81
50,74867AD200E41EDBA5D8B06B26ECC052  ,GBP          ,339.15,285,54.15
10,74867AD200E41EDBA5D8B06B26EF2052  ,USD          ,16.64,13.98,2.66
20,74867AD200E41EDBA5D8B06B26FA6052  ,USD          ,653.31,549,104.31
30,74867AD200E41EDBA5D8B06B26F4C052  ,USD          ,1306.62,1098,208.62
40,74867AD200E41EDBA5D8B06B26EF2052  ,USD          ,8.32,6.99,1.33
50,74867AD200E41EDBA5D8B06B26FA6052  ,USD          ,1959.93,1647,312.93
10,74867AD200E41EDBA5D8B06B26F3E052  ,JPY          ,17850,15000,2850
20,74867AD200E41EDBA5D8B06B26F98052  ,JPY          ,59.5,50,9.5
30,74867AD200E41EDBA5D8B06B26EE4052  ,JPY          ,283.22,238,45.22
40,74867AD200E41EDBA5D8B06B26F3E052  ,JPY          ,53550,45000,8550
50,74867AD200E41EDBA5D8B06B26F98052  ,JPY          ,59.5,50,9.5
60,74867AD200E41EDBA5D8B06B26EE4052  ,JPY          ,283.22,238,45.22
70,74867AD200E41EDBA5D8B06B26F3E052  ,JPY          ,53550,45000,8550
10,74867AD200E41EDBA5D8B06B26F02052  ,INR          ,460.53,387,73.53
20,74867AD200E41EDBA5D8B06B26F5C052  ,INR          ,53.55,45,8.55
30,74867AD200E41EDBA5D8B06B26F02052  ,INR          ,460.53,387,73.53
10,74867AD200E41EDBA5D8B06B26FA2052  ,CAD          ,642.6,540,102.6
20,74867AD200E41EDBA5D8B06B26EEE052  ,CAD          ,57.12,48,9.12
30,74867AD200E41EDBA5D8B06B26F48052  ,CAD          ,653.31,549,104.31
40,74867AD200E41EDBA5D8B06B26FA2052  ,CAD          ,642.6,540,102.6
50,74867AD200E41EDBA5D8B06B26EEE052  ,CAD          ,38.08,32,6.08
60,74867AD200E41EDBA5D8B06B26F48052  ,CAD          ,653.31,549,104.31
70,74867AD200E41EDBA5D8B06B26FA2052  ,CAD          ,963.9,810,153.9
80,74867AD200E41EDBA5D8B06B26EEE052  ,CAD          ,19.04,16,3.04
10,74867AD200E41EDBA5D8B06B26EB6052  ,EUR          ,2972.62,2498,474.62
20,74867AD200E41EDBA5D8B06B26F6A052  ,EUR          ,21.4,17.98,3.42
30,74867AD200E41EDBA5D8B06B26F10052  ,EUR          ,107.1,90,17.1
40,74867AD200E41EDBA5D8B06B26EB6052  ,EUR          ,4458.93,3747,711.93
50,74867AD200E41EDBA5D8B06B26F6A052  ,EUR          ,10.7,8.99,1.71
60,74867AD200E41EDBA5D8B06B26F10052  ,EUR          ,107.1,90,17.1
10,74867AD200E41EDBA5D8B06B26F0E052  ,EUR          ,61.88,52,9.88
20,74867AD200E41EDBA5D8B06B26EB4052  ,EUR          ,2275.28,1912,363.28
30,74867AD200E41EDBA5D8B06B26F68052  ,EUR          ,1116.22,938,178.22
10,74867AD200E41EDBA5D8B06B26F36052  ,RUB          ,3403.4,2860,543.4
20,74867AD200E41EDBA5D8B06B26EDC052  ,RUB          ,330.82,278,52.82
30,74867AD200E41EDBA5D8B06B26F90052  ,RUB          ,53.55,45,8.55
40,74867AD200E41EDBA5D8B06B26F36052  ,RUB          ,3403.4,2860,543.4
50,74867AD200E41EDBA5D8B06B26EDC052  ,RUB          ,330.82,278,52.82
60,74867AD200E41EDBA5D8B06B26F90052  ,RUB          ,17.85,15,2.85
70,74867AD200E41EDBA5D8B06B26F36052  ,RUB          ,5105.1,4290,815.1
10,74867AD200E41EDBA5D8B06B26F76052  ,EUR          ,1428,1200,228
20,74867AD200E41EDBA5D8B06B26F1C052  ,EUR          ,103.53,87,16.53
30,74867AD200E41EDBA5D8B06B26EC2052  ,EUR          ,1638.63,1377,261.63
40,74867AD200E41EDBA5D8B06B26F76052  ,EUR          ,1428,1200,228
10,74867AD200E41EDBA5D8B06B26F50052  ,USD          ,116.62,98,18.62
20,74867AD200E41EDBA5D8B06B26EF6052  ,USD          ,30.92,25.98,4.94
30,74867AD200E41EDBA5D8B06B26F50052  ,USD          ,116.62,98,18.62
40,74867AD200E41EDBA5D8B06B26EF6052  ,USD          ,46.37,38.97,7.4
50,74867AD200E41EDBA5D8B06B26F50052  ,USD          ,116.62,98,18.62
60,74867AD200E41EDBA5D8B06B26EF6052  ,USD          ,30.92,25.98,4.94
70,74867AD200E41EDBA5D8B06B26F50052  ,USD          ,58.31,49,9.31
80,74867AD200E41EDBA5D8B06B26EF6052  ,USD          ,30.92,25.98,4.94
90,74867AD200E41EDBA5D8B06B26F50052  ,USD          ,174.93,147,27.93
10,74867AD200E41EDBA5D8B06B26EFE052  ,USD          ,120.43,101.2,19.23
20,74867AD200E41EDBA5D8B06B26F58052  ,USD          ,596.19,501,95.19
30,74867AD200E41EDBA5D8B06B26EFE052  ,USD          ,240.86,202.4,38.46
40,74867AD200E41EDBA5D8B06B26F58052  ,USD          ,397.46,334,63.46
50,74867AD200E41EDBA5D8B06B26EFE052  ,USD          ,361.28,303.6,57.68
60,74867AD200E41EDBA5D8B06B26F58052  ,USD          ,397.46,334,63.46
70,74867AD200E41EDBA5D8B06B26EFE052  ,USD          ,240.86,202.4,38.46
10,74867AD200E41EDBA5D8B06B26F3A052  ,EUR          ,2854.81,2399,455.81
20,74867AD200E41EDBA5D8B06B26EE0052  ,EUR          ,404.6,340,64.6
30,74867AD200E41EDBA5D8B06B26F94052  ,EUR          ,991.27,833,158.27
40,74867AD200E41EDBA5D8B06B26F3A052  ,EUR          ,2854.81,2399,455.81
50,74867AD200E41EDBA5D8B06B26EE0052  ,EUR          ,202.3,170,32.3
60,74867AD200E41EDBA5D8B06B26F94052  ,EUR          ,2973.81,2499,474.81
10,74867AD200E41EDBA5D8B06B26EE6052  ,EUR          ,32.13,27,5.13
20,74867AD200E41EDBA5D8B06B26F40052  ,EUR          ,59500,50000,9500
30,74867AD200E41EDBA5D8B06B26F9A052  ,EUR          ,1176.91,989,187.91
40,74867AD200E41EDBA5D8B06B26EE6052  ,EUR          ,32.13,27,5.13
50,74867AD200E41EDBA5D8B06B26F40052  ,EUR          ,59500,50000,9500
60,74867AD200E41EDBA5D8B06B26F9A052  ,EUR          ,1176.91,989,187.91
70,74867AD200E41EDBA5D8B06B26EE6052  ,EUR          ,21.42,18,3.42
80,74867AD200E41EDBA5D8B06B26F40052  ,EUR          ,89250,75000,14250
90,74867AD200E41EDBA5D8B06B26F9A052  ,EUR          ,2353.82,1978,375.82
10,74867AD200E41EDBA5D8B06B26F54052  ,ARS          ,69.02,58,11.02
20,74867AD200E41EDBA5D8B06B26EFA052  ,ARS          ,84.37,70.9,13.47
30,74867AD200E41EDBA5D8B06B26F54052  ,ARS          ,69.02,58,11.02
10,74867AD200E41EDBA5D8B06B26EFC052  ,ZAR          ,97.22,81.7,15.52
20,74867AD200E41EDBA5D8B06B26F56052  ,ZAR          ,711.62,598,113.62
10,74867AD200E41EDBA5D8B06B26F26052  ,GBP          ,139.23,117,22.23
20,74867AD200E41EDBA5D8B06B26F80052  ,GBP          ,3566.43,2997,569.43
30,74867AD200E41EDBA5D8B06B26ECC052  ,GBP          ,339.15,285,54.15
40,74867AD200E41EDBA5D8B06B26F26052  ,GBP          ,92.82,78,14.82
10,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,464.1,390,74.1
20,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,201.11,169,32.11
30,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,464.1,390,74.1
40,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,201.11,169,32.11
50,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,464.1,390,74.1
60,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,201.11,169,32.11
10,74867AD200E41EDBA5D8B06B26F62052  ,CNY          ,2115.82,1778,337.82
20,74867AD200E41EDBA5D8B06B26F08052  ,CNY          ,449.82,378,71.82
30,74867AD200E41EDBA5D8B06B26F62052  ,CNY          ,2115.82,1778,337.82
40,74867AD200E41EDBA5D8B06B26F08052  ,CNY          ,449.82,378,71.82
50,74867AD200E41EDBA5D8B06B26F62052  ,CNY          ,1057.91,889,168.91
60,74867AD200E41EDBA5D8B06B26F08052  ,CNY          ,224.91,189,35.91
70,74867AD200E41EDBA5D8B06B26F62052  ,CNY          ,2115.82,1778,337.82
80,74867AD200E41EDBA5D8B06B26F08052  ,CNY          ,674.73,567,107.73
90,74867AD200E41EDBA5D8B06B26F62052  ,CNY          ,2115.82,1778,337.82
10,74867AD200E41EDBA5D8B06B26F3C052  ,EUR          ,11900,10000,1900
20,74867AD200E41EDBA5D8B06B26F96052  ,EUR          ,712.81,599,113.81
30,74867AD200E41EDBA5D8B06B26EE2052  ,EUR          ,235.62,198,37.62
10,74867AD200E41EDBA5D8B06B26F98052  ,JPY          ,89.25,75,14.25
20,74867AD200E41EDBA5D8B06B26EE4052  ,JPY          ,424.83,357,67.83
10,74867AD200E41EDBA5D8B06B26F2A052  ,USD          ,110.67,93,17.67
20,74867AD200E41EDBA5D8B06B26ED0052  ,USD          ,1424.43,1197,227.43
30,74867AD200E41EDBA5D8B06B26F84052  ,USD          ,1651.72,1388,263.72
40,74867AD200E41EDBA5D8B06B26F2A052  ,USD          ,73.78,62,11.78
10,74867AD200E41EDBA5D8B06B26F70052  ,USD          ,1606.46,1349.97,256.49
20,74867AD200E41EDBA5D8B06B26F16052  ,USD          ,246.33,207,39.33
30,74867AD200E41EDBA5D8B06B26EBC052  ,USD          ,1067.43,897,170.43
40,74867AD200E41EDBA5D8B06B26F70052  ,USD          ,1606.46,1349.97,256.49
50,74867AD200E41EDBA5D8B06B26F16052  ,USD          ,164.22,138,26.22
60,74867AD200E41EDBA5D8B06B26EBC052  ,USD          ,355.81,299,56.81
70,74867AD200E41EDBA5D8B06B26F70052  ,USD          ,1070.98,899.98,171
10,74867AD200E41EDBA5D8B06B26F82052  ,EUR          ,1426.81,1199,227.81
20,74867AD200E41EDBA5D8B06B26F28052  ,EUR          ,5.47,4.6,0.87
30,74867AD200E41EDBA5D8B06B26ECE052  ,EUR          ,821.1,690,131.1
40,74867AD200E41EDBA5D8B06B26F82052  ,EUR          ,2853.62,2398,455.62
50,74867AD200E41EDBA5D8B06B26F28052  ,EUR          ,8.21,6.9,1.31
60,74867AD200E41EDBA5D8B06B26ECE052  ,EUR          ,821.1,690,131.1
70,74867AD200E41EDBA5D8B06B26F82052  ,EUR          ,2853.62,2398,455.62
80,74867AD200E41EDBA5D8B06B26F28052  ,EUR          ,5.47,4.6,0.87
90,74867AD200E41EDBA5D8B06B26ECE052  ,EUR          ,1231.65,1035,196.65
100,74867AD200E41EDBA5D8B06B26F82052  ,EUR          ,4280.43,3597,683.43
10,74867AD200E41EDBA5D8B06B26F58052  ,USD          ,397.46,334,63.46
20,74867AD200E41EDBA5D8B06B26EFE052  ,USD          ,120.43,101.2,19.23
30,74867AD200E41EDBA5D8B06B26F58052  ,USD          ,397.46,334,63.46
40,74867AD200E41EDBA5D8B06B26EFE052  ,USD          ,240.86,202.4,38.46
50,74867AD200E41EDBA5D8B06B26F58052  ,USD          ,397.46,334,63.46
60,74867AD200E41EDBA5D8B06B26EFE052  ,USD          ,240.86,202.4,38.46
70,74867AD200E41EDBA5D8B06B26F58052  ,USD          ,596.19,501,95.19
80,74867AD200E41EDBA5D8B06B26EFE052  ,USD          ,361.28,303.6,57.68
90,74867AD200E41EDBA5D8B06B26F58052  ,USD          ,397.46,334,63.46
100,74867AD200E41EDBA5D8B06B26EFE052  ,USD          ,361.28,303.6,57.68
10,74867AD200E41EDBA5D8B06B26F62052  ,CNY          ,3173.73,2667,506.73
20,74867AD200E41EDBA5D8B06B26F08052  ,CNY          ,224.91,189,35.91
30,74867AD200E41EDBA5D8B06B26F62052  ,CNY          ,2115.82,1778,337.82
40,74867AD200E41EDBA5D8B06B26F08052  ,CNY          ,449.82,378,71.82
50,74867AD200E41EDBA5D8B06B26F62052  ,CNY          ,1057.91,889,168.91
60,74867AD200E41EDBA5D8B06B26F08052  ,CNY          ,449.82,378,71.82
70,74867AD200E41EDBA5D8B06B26F62052  ,CNY          ,1057.91,889,168.91
80,74867AD200E41EDBA5D8B06B26F08052  ,CNY          ,449.82,378,71.82
10,74867AD200E41EDBA5D8B06B26FA0052  ,BRL          ,892.5,750,142.5
20,74867AD200E41EDBA5D8B06B26F46052  ,BRL          ,3209.43,2697,512.43
30,74867AD200E41EDBA5D8B06B26EEC052  ,BRL          ,49.98,42,7.98
40,74867AD200E41EDBA5D8B06B26FA0052  ,BRL          ,297.5,250,47.5
50,74867AD200E41EDBA5D8B06B26F46052  ,BRL          ,1069.81,899,170.81
10,74867AD200E41EDBA5D8B06B26F0A052  ,DKK          ,3567.62,2998,569.62
20,74867AD200E41EDBA5D8B06B26F64052  ,DKK          ,808.01,679,129.01
30,74867AD200E41EDBA5D8B06B26F0A052  ,DKK          ,3567.62,2998,569.62
40,74867AD200E41EDBA5D8B06B26F64052  ,DKK          ,808.01,679,129.01
50,74867AD200E41EDBA5D8B06B26F0A052  ,DKK          ,5351.43,4497,854.43
10,74867AD200E41EDBA5D8B06B26F5E052  ,PLN          ,342.72,288,54.72
20,74867AD200E41EDBA5D8B06B26F04052  ,PLN          ,211.82,178,33.82
30,74867AD200E41EDBA5D8B06B26F5E052  ,PLN          ,685.44,576,109.44
40,74867AD200E41EDBA5D8B06B26F04052  ,PLN          ,317.73,267,50.73
50,74867AD200E41EDBA5D8B06B26F5E052  ,PLN          ,685.44,576,109.44
60,74867AD200E41EDBA5D8B06B26F04052  ,PLN          ,211.82,178,33.82
70,74867AD200E41EDBA5D8B06B26F5E052  ,PLN          ,1028.16,864,164.16
10,74867AD200E41EDBA5D8B06B26F98052  ,JPY          ,89.25,75,14.25
20,74867AD200E41EDBA5D8B06B26EE4052  ,JPY          ,141.61,119,22.61
30,74867AD200E41EDBA5D8B06B26F3E052  ,JPY          ,53550,45000,8550
10,74867AD200E41EDBA5D8B06B26F6E052  ,EUR          ,107.08,89.98,17.1
20,74867AD200E41EDBA5D8B06B26F14052  ,EUR          ,285.24,239.7,45.54
30,74867AD200E41EDBA5D8B06B26EBA052  ,EUR          ,1963.5,1650,313.5
40,74867AD200E41EDBA5D8B06B26F6E052  ,EUR          ,107.08,89.98,17.1
50,74867AD200E41EDBA5D8B06B26F14052  ,EUR          ,190.16,159.8,30.36
60,74867AD200E41EDBA5D8B06B26EBA052  ,EUR          ,1963.5,1650,313.5
70,74867AD200E41EDBA5D8B06B26F6E052  ,EUR          ,160.61,134.97,25.64
80,74867AD200E41EDBA5D8B06B26F14052  ,EUR          ,95.08,79.9,15.18
10,74867AD200E41EDBA5D8B06B26F92052  ,USD          ,3303.44,2776,527.44
20,74867AD200E41EDBA5D8B06B26F38052  ,USD          ,54.74,46,8.74
30,74867AD200E41EDBA5D8B06B26EDE052  ,USD          ,235.62,198,37.62
40,74867AD200E41EDBA5D8B06B26F92052  ,USD          ,4955.16,4164,791.16
50,74867AD200E41EDBA5D8B06B26F38052  ,USD          ,27.37,23,4.37
60,74867AD200E41EDBA5D8B06B26EDE052  ,USD          ,235.62,198,37.62
10,74867AD200E41EDBA5D8B06B26F42052  ,EUR          ,3472.42,2918,554.42
20,74867AD200E41EDBA5D8B06B26F9C052  ,EUR          ,1544.62,1298,246.62
30,74867AD200E41EDBA5D8B06B26EE8052  ,EUR          ,16.66,14,2.66
10,74867AD200E41EDBA5D8B06B26EEE052  ,CAD          ,38.08,32,6.08
20,74867AD200E41EDBA5D8B06B26F48052  ,CAD          ,1306.62,1098,208.62
30,74867AD200E41EDBA5D8B06B26FA2052  ,CAD          ,963.9,810,153.9
40,74867AD200E41EDBA5D8B06B26EEE052  ,CAD          ,38.08,32,6.08
50,74867AD200E41EDBA5D8B06B26F48052  ,CAD          ,1306.62,1098,208.62
60,74867AD200E41EDBA5D8B06B26FA2052  ,CAD          ,321.3,270,51.3
70,74867AD200E41EDBA5D8B06B26EEE052  ,CAD          ,57.12,48,9.12
10,74867AD200E41EDBA5D8B06B26F6E052  ,EUR          ,53.54,44.99,8.55
20,74867AD200E41EDBA5D8B06B26F14052  ,EUR          ,285.24,239.7,45.54
30,74867AD200E41EDBA5D8B06B26EBA052  ,EUR          ,5890.5,4950,940.5
40,74867AD200E41EDBA5D8B06B26F6E052  ,EUR          ,53.54,44.99,8.55
10,74867AD200E41EDBA5D8B06B26F62052  ,CNY          ,2115.82,1778,337.82
20,74867AD200E41EDBA5D8B06B26F08052  ,CNY          ,449.82,378,71.82
30,74867AD200E41EDBA5D8B06B26F62052  ,CNY          ,2115.82,1778,337.82
40,74867AD200E41EDBA5D8B06B26F08052  ,CNY          ,674.73,567,107.73
50,74867AD200E41EDBA5D8B06B26F62052  ,CNY          ,2115.82,1778,337.82
60,74867AD200E41EDBA5D8B06B26F08052  ,CNY          ,449.82,378,71.82
70,74867AD200E41EDBA5D8B06B26F62052  ,CNY          ,1057.91,889,168.91
80,74867AD200E41EDBA5D8B06B26F08052  ,CNY          ,449.82,378,71.82
90,74867AD200E41EDBA5D8B06B26F62052  ,CNY          ,3173.73,2667,506.73
10,74867AD200E41EDBA5D8B06B26ED8052  ,ARS          ,583.1,490,93.1
20,74867AD200E41EDBA5D8B06B26F32052  ,ARS          ,124.95,105,19.95
30,74867AD200E41EDBA5D8B06B26F8C052  ,ARS          ,1506.54,1266,240.54
40,74867AD200E41EDBA5D8B06B26ED8052  ,ARS          ,1166.2,980,186.2
50,74867AD200E41EDBA5D8B06B26F32052  ,ARS          ,124.95,105,19.95
60,74867AD200E41EDBA5D8B06B26F8C052  ,ARS          ,1506.54,1266,240.54
70,74867AD200E41EDBA5D8B06B26ED8052  ,ARS          ,1166.2,980,186.2
10,74867AD200E41EDBA5D8B06B26EDC052  ,RUB          ,165.41,139,26.41
20,74867AD200E41EDBA5D8B06B26F90052  ,RUB          ,35.7,30,5.7
30,74867AD200E41EDBA5D8B06B26F36052  ,RUB          ,1701.7,1430,271.7
40,74867AD200E41EDBA5D8B06B26EDC052  ,RUB          ,165.41,139,26.41
50,74867AD200E41EDBA5D8B06B26F90052  ,RUB          ,17.85,15,2.85
60,74867AD200E41EDBA5D8B06B26F36052  ,RUB          ,5105.1,4290,815.1
10,74867AD200E41EDBA5D8B06B26F9E052  ,ARS          ,3484.32,2928,556.32
20,74867AD200E41EDBA5D8B06B26F44052  ,ARS          ,2853.62,2398,455.62
30,74867AD200E41EDBA5D8B06B26EEA052  ,ARS          ,13.09,11,2.09
40,74867AD200E41EDBA5D8B06B26F9E052  ,ARS          ,3484.32,2928,556.32
50,74867AD200E41EDBA5D8B06B26F44052  ,ARS          ,2853.62,2398,455.62
60,74867AD200E41EDBA5D8B06B26EEA052  ,ARS          ,13.09,11,2.09
70,74867AD200E41EDBA5D8B06B26F9E052  ,ARS          ,2322.88,1952,370.88
80,74867AD200E41EDBA5D8B06B26F44052  ,ARS          ,4280.43,3597,683.43
90,74867AD200E41EDBA5D8B06B26EEA052  ,ARS          ,26.18,22,4.18
10,74867AD200E41EDBA5D8B06B26EE8052  ,EUR          ,16.66,14,2.66
20,74867AD200E41EDBA5D8B06B26F42052  ,EUR          ,1736.21,1459,277.21
30,74867AD200E41EDBA5D8B06B26F9C052  ,EUR          ,1544.62,1298,246.62
10,74867AD200E41EDBA5D8B06B26F20052  ,ARS          ,35.58,29.9,5.68
20,74867AD200E41EDBA5D8B06B26F7A052  ,ARS          ,1428,1200,228
10,74867AD200E41EDBA5D8B06B26F18052  ,EUR          ,274.89,231,43.89
20,74867AD200E41EDBA5D8B06B26EBE052  ,EUR          ,7136.43,5997,1139.43
30,74867AD200E41EDBA5D8B06B26F72052  ,EUR          ,297.49,249.99,47.5
40,74867AD200E41EDBA5D8B06B26F18052  ,EUR          ,183.26,154,29.26
10,74867AD200E41EDBA5D8B06B26FA8052  ,EUR          ,1888.53,1587,301.53
20,74867AD200E41EDBA5D8B06B26F4E052  ,EUR          ,653.31,549,104.31
30,74867AD200E41EDBA5D8B06B26EF4052  ,EUR          ,32.09,26.97,5.12
40,74867AD200E41EDBA5D8B06B26FA8052  ,EUR          ,1888.53,1587,301.53
50,74867AD200E41EDBA5D8B06B26F4E052  ,EUR          ,653.31,549,104.31
10,74867AD200E41EDBA5D8B06B26EF8052  ,JPY          ,33.32,28,5.32
20,74867AD200E41EDBA5D8B06B26F52052  ,JPY          ,92.82,78,14.82
30,74867AD200E41EDBA5D8B06B26EF8052  ,JPY          ,33.32,28,5.32
40,74867AD200E41EDBA5D8B06B26F52052  ,JPY          ,92.82,78,14.82
50,74867AD200E41EDBA5D8B06B26EF8052  ,JPY          ,16.66,14,2.66
60,74867AD200E41EDBA5D8B06B26F52052  ,JPY          ,46.41,39,7.41
70,74867AD200E41EDBA5D8B06B26EF8052  ,JPY          ,33.32,28,5.32
80,74867AD200E41EDBA5D8B06B26F52052  ,JPY          ,139.23,117,22.23
90,74867AD200E41EDBA5D8B06B26EF8052  ,JPY          ,33.32,28,5.32
10,74867AD200E41EDBA5D8B06B26EE8052  ,EUR          ,16.66,14,2.66
20,74867AD200E41EDBA5D8B06B26F42052  ,EUR          ,1736.21,1459,277.21
30,74867AD200E41EDBA5D8B06B26F9C052  ,EUR          ,1544.62,1298,246.62
10,74867AD200E41EDBA5D8B06B26F64052  ,DKK          ,2424.03,2037,387.03
20,74867AD200E41EDBA5D8B06B26F0A052  ,DKK          ,5351.43,4497,854.43
10,74867AD200E41EDBA5D8B06B26FA6052  ,USD          ,1959.93,1647,312.93
20,74867AD200E41EDBA5D8B06B26F4C052  ,USD          ,1959.93,1647,312.93
30,74867AD200E41EDBA5D8B06B26EF2052  ,USD          ,8.32,6.99,1.33
40,74867AD200E41EDBA5D8B06B26FA6052  ,USD          ,1306.62,1098,208.62
10,74867AD200E41EDBA5D8B06B26F64052  ,DKK          ,2424.03,2037,387.03
20,74867AD200E41EDBA5D8B06B26F0A052  ,DKK          ,5351.43,4497,854.43
30,74867AD200E41EDBA5D8B06B26F64052  ,DKK          ,2424.03,2037,387.03
40,74867AD200E41EDBA5D8B06B26F0A052  ,DKK          ,5351.43,4497,854.43
50,74867AD200E41EDBA5D8B06B26F64052  ,DKK          ,808.01,679,129.01
60,74867AD200E41EDBA5D8B06B26F0A052  ,DKK          ,3567.62,2998,569.62
70,74867AD200E41EDBA5D8B06B26F64052  ,DKK          ,808.01,679,129.01
80,74867AD200E41EDBA5D8B06B26F0A052  ,DKK          ,3567.62,2998,569.62
10,74867AD200E41EDBA5D8B06B26F22052  ,USD          ,10.59,8.9,1.69
20,74867AD200E41EDBA5D8B06B26F7C052  ,USD          ,188.02,158,30.02
30,74867AD200E41EDBA5D8B06B26EC8052  ,USD          ,1218.56,1024,194.56
40,74867AD200E41EDBA5D8B06B26F22052  ,USD          ,21.18,17.8,3.38
50,74867AD200E41EDBA5D8B06B26F7C052  ,USD          ,282.03,237,45.03
60,74867AD200E41EDBA5D8B06B26EC8052  ,USD          ,1218.56,1024,194.56
70,74867AD200E41EDBA5D8B06B26F22052  ,USD          ,21.18,17.8,3.38
80,74867AD200E41EDBA5D8B06B26F7C052  ,USD          ,188.02,158,30.02
90,74867AD200E41EDBA5D8B06B26EC8052  ,USD          ,1827.84,1536,291.84
100,74867AD200E41EDBA5D8B06B26F22052  ,USD          ,31.77,26.7,5.07
10,74867AD200E41EDBA5D8B06B26F2C052  ,CAD          ,116.62,98,18.62
20,74867AD200E41EDBA5D8B06B26ED2052  ,CAD          ,511.7,430,81.7
30,74867AD200E41EDBA5D8B06B26F86052  ,CAD          ,0,0,0
40,74867AD200E41EDBA5D8B06B26F2C052  ,CAD          ,116.62,98,18.62
50,74867AD200E41EDBA5D8B06B26ED2052  ,CAD          ,1023.4,860,163.4
60,74867AD200E41EDBA5D8B06B26F86052  ,CAD          ,0,0,0
70,74867AD200E41EDBA5D8B06B26F2C052  ,CAD          ,174.93,147,27.93
80,74867AD200E41EDBA5D8B06B26ED2052  ,CAD          ,1535.1,1290,245.1
90,74867AD200E41EDBA5D8B06B26F86052  ,CAD          ,0,0,0
100,74867AD200E41EDBA5D8B06B26F2C052  ,CAD          ,174.93,147,27.93
10,74867AD200E41EDBA5D8B06B26EC8052  ,USD          ,1827.84,1536,291.84
20,74867AD200E41EDBA5D8B06B26F22052  ,USD          ,10.59,8.9,1.69
30,74867AD200E41EDBA5D8B06B26F7C052  ,USD          ,188.02,158,30.02
40,74867AD200E41EDBA5D8B06B26EC8052  ,USD          ,1218.56,1024,194.56
50,74867AD200E41EDBA5D8B06B26F22052  ,USD          ,10.59,8.9,1.69
60,74867AD200E41EDBA5D8B06B26F7C052  ,USD          ,188.02,158,30.02
70,74867AD200E41EDBA5D8B06B26EC8052  ,USD          ,609.28,512,97.28
80,74867AD200E41EDBA5D8B06B26F22052  ,USD          ,21.18,17.8,3.38
10,74867AD200E41EDBA5D8B06B26EF0052  ,CHF          ,92.82,78,14.82
20,74867AD200E41EDBA5D8B06B26F4A052  ,CHF          ,1959.93,1647,312.93
30,74867AD200E41EDBA5D8B06B26FA4052  ,CHF          ,1959.93,1647,312.93
40,74867AD200E41EDBA5D8B06B26EF0052  ,CHF          ,30.94,26,4.94
50,74867AD200E41EDBA5D8B06B26F4A052  ,CHF          ,653.31,549,104.31
10,74867AD200E41EDBA5D8B06B26EBE052  ,EUR          ,4757.62,3998,759.62
20,74867AD200E41EDBA5D8B06B26F72052  ,EUR          ,297.49,249.99,47.5
30,74867AD200E41EDBA5D8B06B26F18052  ,EUR          ,183.26,154,29.26
40,74867AD200E41EDBA5D8B06B26EBE052  ,EUR          ,2378.81,1999,379.81
50,74867AD200E41EDBA5D8B06B26F72052  ,EUR          ,892.46,749.97,142.49
10,74867AD200E41EDBA5D8B06B26F26052  ,GBP          ,46.41,39,7.41
20,74867AD200E41EDBA5D8B06B26F80052  ,GBP          ,2377.62,1998,379.62
30,74867AD200E41EDBA5D8B06B26ECC052  ,GBP          ,678.3,570,108.3
40,74867AD200E41EDBA5D8B06B26F26052  ,GBP          ,139.23,117,22.23
50,74867AD200E41EDBA5D8B06B26F80052  ,GBP          ,2377.62,1998,379.62
60,74867AD200E41EDBA5D8B06B26ECC052  ,GBP          ,678.3,570,108.3
70,74867AD200E41EDBA5D8B06B26F26052  ,GBP          ,139.23,117,22.23
10,74867AD200E41EDBA5D8B06B26FA2052  ,CAD          ,963.9,810,153.9
20,74867AD200E41EDBA5D8B06B26EEE052  ,CAD          ,19.04,16,3.04
30,74867AD200E41EDBA5D8B06B26F48052  ,CAD          ,1959.93,1647,312.93
10,74867AD200E41EDBA5D8B06B26FA6052  ,USD          ,1306.62,1098,208.62
20,74867AD200E41EDBA5D8B06B26F4C052  ,USD          ,1959.93,1647,312.93
30,74867AD200E41EDBA5D8B06B26EF2052  ,USD          ,8.32,6.99,1.33
40,74867AD200E41EDBA5D8B06B26FA6052  ,USD          ,1306.62,1098,208.62
50,74867AD200E41EDBA5D8B06B26F4C052  ,USD          ,1306.62,1098,208.62
60,74867AD200E41EDBA5D8B06B26EF2052  ,USD          ,8.32,6.99,1.33
